trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",25,0,-55.58160146597865,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",25,9,-72.32585566271973,"{0: 9, 1: 3, 2: 3, 3: 0, 4: 1}",1
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",30,0,-74.02830640983834,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-161.2949502574498,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",25,0,-152.65481376087396,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,2,-67.67326609182372,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 1}",1
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",25,0,-78.86321733435092,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",30,0,-125.67180628359036,"{0: 16, 1: 5, 2: 8, 3: 0, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",25,0,-39.59676316895903,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",25,0,-95.58313865737767,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",20,0,-176.1395846859842,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,0,-176.94780049870585,"{0: 8, 1: 4, 2: 5, 3: 0, 4: 3}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,0,-72.98155415101274,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",30,0,-146.33639909823145,"{0: 22, 1: 2, 2: 2, 3: 1, 4: 3}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",20,0,-246.23164275703985,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 5}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",20,0,-162.77429325156265,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",30,0,-71.31156077174117,"{0: 21, 1: 4, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",25,14,-17.387240769281334,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",20,0,-154.40295021642336,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 4}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",20,0,-146.98049145558028,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",25,0,-82.29063456208026,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",20,0,-56.44505405957099,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",30,16,-42.07313717741506,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 0}",1
24,False,"{'a': 0.01, 'e': 0.9713379748520297}",30,0,-79.62939653001625,"{0: 19, 1: 6, 2: 4, 3: 0, 4: 1}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",25,16,-49.98390169646245,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",25,0,-52.248672440357645,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",35,0,-186.47300712960603,"{0: 23, 1: 1, 2: 8, 3: 0, 4: 3}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",20,0,-81.29485971905753,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",25,0,-80.07732482444729,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
30,False,"{'a': 0.01, 'e': 0.955336489125606}",25,0,-126.02711216776682,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",30,0,-171.90775378465483,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 3}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",25,2,-62.0649167861358,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 0}",1
33,False,"{'a': 0.01, 'e': 0.946042343528387}",20,0,-30.53233331907975,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",20,0,-62.361009295779475,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",25,11,-92.85834451846208,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 2}",1
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",20,13,-0.08462997172246789,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",20,0,-97.49460395511952,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",35,14,-70.32891353857346,"{0: 12, 1: 2, 2: 6, 3: 1, 4: 0}",1
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",20,0,-16.55958278525189,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
