trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,9,-68.25614549410156,"{0: 5, 1: 1, 2: 3, 3: 2, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-108.28732458986332,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-82.82089320706136,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-104.04003610496754,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-45.85394779137155,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-237.8030051153652,"{0: 6, 1: 3, 2: 7, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-101.85499328008459,"{0: 20, 1: 1, 2: 8, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-27.707300151813186,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-70.50735135734568,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-80.26534058486602,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-143.29277250439233,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-107.46776977784916,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-56.87642936268951,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-198.4356686869366,"{0: 18, 1: 5, 2: 3, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-219.1765260250748,"{0: 16, 1: 3, 2: 7, 3: 0, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-48.07420295175624,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-23.324715201846985,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-148.56605607823218,"{0: 11, 1: 2, 2: 11, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-98.57794405800946,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-12.319032996134919,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,-140.21733032229838,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",25,0,-95.66481993441843,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,0,-117.63712687527779,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",30,0,-131.09991892262124,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,0,-101.08480711738409,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,0.04210548716766471,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,-33.36320641214591,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",30,0,-112.5974289132763,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,-113.3206758643251,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,0,-89.74222940655135,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
